Age,Age_brackets,gender,state,country_name,location_name,region_name
54,From 49 to 59,M,California,United Kingdom,Rockall,Europe
68,60 or more,M,Florida,France,Reunion Island,Indian Ocean
42,From 39 to 49,M,California,Portugal,Portugal,Europe
67,60 or more,M,Tennessee,Portugal,Portugal,Europe
55,From 49 to 59,M,New York,Italy,Veneto,Europe
53,From 49 to 59,M,California,Italy,Veneto,Europe
40,From 39 to 49,M,Illinois,Netherlands,Netherlands,Europe
48,From 39 to 49,M,Texas,Spain,Llivia,Europe
74,60 or more,M,Tennessee,Italy,Campania,Europe
72,60 or more,M,California,Italy,Italy (mainland),Europe
42,From 39 to 49,M,California,Italy,Italy (mainland),Europe
47,From 39 to 49,M,New Jersey,Denmark,Greenland,Atlantic Ocean
52,From 49 to 59,M,California,Denmark,Greenland,Atlantic Ocean
33,From 30 to 39,F,Oklahoma,United Kingdom,Cayman Islands,Caribbean
41,From 39 to 49,F,Texas,United Kingdom,Cayman Islands,Caribbean
74,60 or more,M,Illinois,France,Tromelin Island,Indian Ocean
38,From 30 to 39,F,California,Czech Republic,Czech Republic,Europe
39,From 30 to 39,M,Florida,Czech Republic,Czech Republic,Europe
48,From 39 to 49,M,Illinois,Czech Republic,Czech Republic,Europe
47,From 39 to 49,M,Virginia,Luxembourg,Luxembourg,Europe
63,60 or more,M,Florida,Italy,Abruzzo,Europe
63,60 or more,M,Georgia,United Kingdom,Turks and Caicos Islands,Atlantic Ocean
44,From 39 to 49,M,Georgia,United Kingdom,Turks and Caicos Islands,Atlantic Ocean
31,From 30 to 39,M,California,Spain,Andalusia,Europe
27,From 25 to 30,M,Michigan,Spain,Andalusia,Europe
55,From 49 to 59,F,Pennsylvania,Italy,Apulia,Europe
59,60 or more,M,New Jersey,Germany,Berlin,Europe
75,60 or more,F,West Virginia,Italy,Tuscany,Europe
54,From 49 to 59,M,Pennsylvania,Italy,Tuscany,Europe
75,60 or more,M,California,Germany,Busingen,Europe
28,From 25 to 30,M,Minnesota,Greece,Greece (other),Europe
43,From 39 to 49,M,Louisiana,United Kingdom,Pitcairn Island,Pacific Ocean
61,60 or more,M,Florida,United Kingdom,Ascension Island,Atlantic Ocean
72,60 or more,M,Colorado,United Kingdom,Shetland Islands,Europe
51,From 49 to 59,M,Hawaii,United Kingdom,Caicos Islands,Atlantic Ocean
39,From 30 to 39,M,North Carolina,Croatia,Croatia (other),Europe
35,From 30 to 39,F,New York,France,Ile-de-France,Europe
21,60 or more,M,New Jersey,United Kingdom,England,Europe
23,From 21 to 25,M,Wisconsin,United Kingdom,England,Europe
37,From 30 to 39,M,California,Romania,Romania,Europe
